eyeball_center,iris_ellipse,mask,png_path,dicenew,check
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((410.56011398655085, 247.67102663942595), (192.82110797128485, 181.64297115126158), 49.48177775296881)",21866,./openEDS/S_0/36.png,0.97152476,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((409.4181543830094, 245.94550878969338), (192.82110797128485, 181.5231901451902), 47.392089912875235)",22066,./openEDS/S_0/38.png,0.97323331,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((399.06813372401126, 224.0517890315744), (192.82110797128485, 176.31445567126204), 27.392371457612434)",25256,./openEDS/S_0/48.png,0.98249965,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((357.3399064193528, 202.59424499509348), (192.82110797128485, 167.86207963225098), -7.430422602207235)",24243,./openEDS/S_0/64.png,0.98822609,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((324.8809258419934, 272.93064193198666), (192.82110797128485, 185.84757935047537), -75.50013609911635)",20560,./openEDS/S_0/124.png,0.98561714,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((361.95481547744515, 202.63912974755766), (192.82110797128485, 168.19572591468554), -4.221838734785381)",24426,./openEDS/S_0/63.png,0.98664482,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((360.2637430072112, 251.63086022494969), (192.82110797128485, 188.93793148422245), -13.355837651172012)",23078,./openEDS/S_0/29.png,0.99319787,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((404.03838127578797, 247.3093214344616), (192.82110797128485, 183.4201078471955), 44.45598191301911)",21734,./openEDS/S_0/33.png,0.97579946,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((321.5563568587843, 268.1576635853017), (192.82110797128485, 184.3106528573848), -71.07144984492005)",21000,./openEDS/S_0/114.png,0.98322922,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((309.33389654952305, 249.83428187662236), (192.82110797128485, 176.16258883916444), -59.71681509795692)",21967,./openEDS/S_0/111.png,0.99138244,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((324.345041110847, 272.53523390905764), (192.82110797128485, 185.6486266824973), -75.18440679685011)",20788,./openEDS/S_0/115.png,0.98482391,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((308.19483218127664, 246.42706566579375), (192.82110797128485, 174.7193807474761), -57.795846557659175)",21780,./openEDS/S_0/109.png,0.99009539,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((308.5949465719625, 244.79625642613223), (192.82110797128485, 174.42236289202984), -56.51347314221051)",21393,./openEDS/S_0/106.png,0.9898168,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((361.53103590513496, 282.5011257378173), (192.82110797128485, 192.66932882528872), -76.27233620859283)",20138,./openEDS/S_0/136.png,0.99085442,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((394.8660522055233, 271.97115424654316), (192.82110797128485, 189.78908575651317), 65.77751947848745)",19218,./openEDS/S_0/144.png,0.97897993,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((360.1721072815615, 248.9013999700901), (192.82110797128485, 188.28059448815452), -12.494828782572325)",22528,./openEDS/S_0/20.png,0.99534244,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((394.48552673359785, 213.57514240021416), (192.82110797128485, 172.09199655548636), 20.614890413909226)",25265,./openEDS/S_0/59.png,0.97115057,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((321.59108010637186, 216.08295930048178), (192.82110797128485, 167.77633070073648), -34.29731456878762)",23426,./openEDS/S_0/84.png,0.98708208,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((359.720532602934, 249.22348481716813), (192.82110797128485, 188.33479553069634), -13.31171185481206)",22450,./openEDS/S_0/17.png,0.99547753,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((403.49845560973523, 229.74128565355605), (192.82110797128485, 177.65318763534822), 33.184143555179496)",24405,./openEDS/S_0/47.png,0.97846576,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((360.2786368372257, 249.47488087625038), (192.82110797128485, 188.42805061968883), -12.527269199632304)",23012,./openEDS/S_0/26.png,0.99405072,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((356.199168238719, 203.51307374479038), (192.82110797128485, 168.35121835451167), -8.310134037798841)",24583,./openEDS/S_0/71.png,0.98938247,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((339.78551683419903, 277.61145853039505), (192.82110797128485, 189.9090405085844), -77.08561919916528)",20688,./openEDS/S_0/126.png,0.98208559,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((360.1875169611928, 248.91127132297058), (192.82110797128485, 188.28390249357008), -12.474290269970492)",22453,./openEDS/S_0/18.png,0.9942847,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((396.7962991279454, 269.584996741263), (192.82110797128485, 189.18739172724392), 63.318897878307524)",19495,./openEDS/S_0/148.png,0.97470807,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((326.1606837399647, 274.5541639837323), (192.82110797128485, 186.35691905701285), -77.17263859290682)",20540,./openEDS/S_0/125.png,0.98324868,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((325.43543168188074, 270.3690936474787), (192.82110797128485, 185.78956207370115), -72.14028141535351)",20711,./openEDS/S_0/121.png,0.98296174,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((360.4145990223105, 249.76669101184515), (192.82110797128485, 188.50650465489358), -12.414023227142037)",21691,./openEDS/S_0/8.png,0.99493694,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((321.4268638893207, 216.21971235813618), (192.82110797128485, 167.789518290895), -34.445443804475794)",23368,./openEDS/S_0/83.png,0.98743574,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((364.60682615301505, 285.77221995206503), (192.82110797128485, 192.77210282965603), 63.170593509656925)",20065,./openEDS/S_0/130.png,0.99193829,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((369.2939186524882, 203.99006324687753), (192.82110797128485, 169.1938684425669), 0.9498620203784279)",24779,./openEDS/S_0/62.png,0.98047081,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((409.6218704783519, 247.01196029045445), (192.82110797128485, 181.75535296457016), 48.34044213761197)",22203,./openEDS/S_0/45.png,0.97366424,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((359.4894892615213, 232.16519865389856), (192.82110797128485, 183.00709339945882), -9.27465347353827)",23331,./openEDS/S_0/2.png,0.9909027,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((325.64131975517955, 271.00034320835164), (192.82110797128485, 185.912863614997), -72.83575529182255)",20476,./openEDS/S_0/118.png,0.98541416,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((363.50838786112564, 282.07365265005615), (192.82110797128485, 192.73856243390748), -65.84196759648268)",20079,./openEDS/S_0/139.png,0.99040231,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((359.6076613600973, 250.40013291473963), (192.82110797128485, 188.61335873303855), -13.940518940430012)",23072,./openEDS/S_0/27.png,0.9943204,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((308.36398854692027, 246.45946899633378), (192.82110797128485, 174.80571295230632), -57.74484861072184)",21469,./openEDS/S_0/108.png,0.99386987,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((321.7082755072196, 215.25997954529552), (192.82110797128485, 167.3716130753735), -33.90996079448345)",23224,./openEDS/S_0/82.png,0.98725923,1
